INFO | Test - WorstChannelByMAE: ch=5 mae=0.341261 (n=500)
INFO | - Epoch 000, ExpID 89374 best_epoch=0 improved=1
INFO | Train - Loss (last batch): 0.00928
INFO | Val - Loss, MSE, MAE: 0.00854, 0.00854, 0.05772
INFO | Test - Best epoch, Loss, MSE, MAE: 0, 0.00867, 0.00867, 0.05751
INFO | Test - Points (EXACT): total_masked=424439 correct=80813 right_rate=19.0400%
INFO | Test - WorstChannelByMAE: ch=5 mae=0.243732 (n=500)
INFO | - Epoch 001, ExpID 89374 best_epoch=1 improved=1
INFO | Train - Loss (last batch): 0.00829
INFO | Val - Loss, MSE, MAE: 0.00746, 0.00746, 0.05594
INFO | Test - Best epoch, Loss, MSE, MAE: 1, 0.00763, 0.00763, 0.05560
INFO | Test - Points (EXACT): total_masked=424439 correct=75637 right_rate=17.8205%
INFO | Test - WorstChannelByMAE: ch=5 mae=0.195797 (n=500)
INFO | - Epoch 002, ExpID 89374 best_epoch=2 improved=1
INFO | Train - Loss (last batch): 0.00697
INFO | Val - Loss, MSE, MAE: 0.00632, 0.00632, 0.04856
INFO | Test - Best epoch, Loss, MSE, MAE: 2, 0.00655, 0.00655, 0.04829
INFO | Test - Points (EXACT): total_masked=424439 correct=92145 right_rate=21.7098%
INFO | Test - WorstChannelByMAE: ch=5 mae=0.182418 (n=500)
INFO | - Epoch 003, ExpID 89374 best_epoch=3 improved=1
INFO | Train - Loss (last batch): 0.00617
INFO | Val - Loss, MSE, MAE: 0.00619, 0.00619, 0.04813
INFO | Test - Best epoch, Loss, MSE, MAE: 3, 0.00637, 0.00637, 0.04780
INFO | Test - Points (EXACT): total_masked=424439 correct=89694 right_rate=21.1324%
INFO | Test - WorstChannelByMAE: ch=5 mae=0.168491 (n=500)
INFO | - Epoch 004, ExpID 89374 best_epoch=4 improved=1
INFO | Train - Loss (last batch): 0.00655
INFO | Val - Loss, MSE, MAE: 0.00561, 0.00561, 0.04553
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.00584, 0.00584, 0.04516
INFO | Test - Points (EXACT): total_masked=424439 correct=96884 right_rate=22.8264%
INFO | - Epoch 005, ExpID 89374 best_epoch=4 improved=0
INFO | Train - Loss (last batch): 0.00530
INFO | Val - Loss, MSE, MAE: 0.00577, 0.00577, 0.04691
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.00584, 0.00584, 0.04516
INFO | Test - Points (EXACT): total_masked=424439 correct=96884 right_rate=22.8264%
INFO | - Epoch 006, ExpID 89374 best_epoch=4 improved=0
INFO | Train - Loss (last batch): 0.00428
INFO | Val - Loss, MSE, MAE: 0.00715, 0.00715, 0.04962
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.00584, 0.00584, 0.04516
INFO | Test - Points (EXACT): total_masked=424439 correct=96884 right_rate=22.8264%
INFO | - Epoch 007, ExpID 89374 best_epoch=4 improved=0
INFO | Train - Loss (last batch): 0.00451
INFO | Val - Loss, MSE, MAE: 0.00602, 0.00602, 0.04774
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.00584, 0.00584, 0.04516
INFO | Test - Points (EXACT): total_masked=424439 correct=96884 right_rate=22.8264%
INFO | - Epoch 008, ExpID 89374 best_epoch=4 improved=0
INFO | Train - Loss (last batch): 0.00408
INFO | Val - Loss, MSE, MAE: 0.00805, 0.00805, 0.05779
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.00584, 0.00584, 0.04516
INFO | Test - Points (EXACT): total_masked=424439 correct=96884 right_rate=22.8264%
INFO | - Epoch 009, ExpID 89374 best_epoch=4 improved=0
INFO | Train - Loss (last batch): 0.00412
INFO | Val - Loss, MSE, MAE: 0.00621, 0.00621, 0.04926
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.00584, 0.00584, 0.04516
INFO | Test - Points (EXACT): total_masked=424439 correct=96884 right_rate=22.8264%
INFO | - Epoch 010, ExpID 89374 best_epoch=4 improved=0
INFO | Train - Loss (last batch): 0.00514
INFO | Val - Loss, MSE, MAE: 0.00776, 0.00776, 0.05483
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.00584, 0.00584, 0.04516
INFO | Test - Points (EXACT): total_masked=424439 correct=96884 right_rate=22.8264%
INFO | - Epoch 011, ExpID 89374 best_epoch=4 improved=0
INFO | Train - Loss (last batch): 0.00582
INFO | Val - Loss, MSE, MAE: 0.00726, 0.00726, 0.05360
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.00584, 0.00584, 0.04516
INFO | Test - Points (EXACT): total_masked=424439 correct=96884 right_rate=22.8264%
INFO | - Epoch 012, ExpID 89374 best_epoch=4 improved=0
INFO | Train - Loss (last batch): 0.00360
INFO | Val - Loss, MSE, MAE: 0.00742, 0.00742, 0.05449
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.00584, 0.00584, 0.04516
INFO | Test - Points (EXACT): total_masked=424439 correct=96884 right_rate=22.8264%
INFO | - Epoch 013, ExpID 89374 best_epoch=4 improved=0
INFO | Train - Loss (last batch): 0.00445
INFO | Val - Loss, MSE, MAE: 0.00701, 0.00701, 0.05305
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.00584, 0.00584, 0.04516
INFO | Test - Points (EXACT): total_masked=424439 correct=96884 right_rate=22.8264%
INFO | - Epoch 014, ExpID 89374 best_epoch=4 improved=0
INFO | Train - Loss (last batch): 0.00395
INFO | Val - Loss, MSE, MAE: 0.00841, 0.00841, 0.05882
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.00584, 0.00584, 0.04516
INFO | Test - Points (EXACT): total_masked=424439 correct=96884 right_rate=22.8264%
INFO | - Epoch 015, ExpID 89374 best_epoch=4 improved=0
