INFO | Test - WorstChannelByMAE: ch=11 mae=0.341475 (n=22)
INFO | - Epoch 000, ExpID 60048 best_epoch=0 improved=1
INFO | Train - Loss (last batch): 0.00495
INFO | Val - Loss, MSE, MAE: 0.00590, 0.00590, 0.04821
INFO | Test - Best epoch, Loss, MSE, MAE: 0, 0.00622, 0.00622, 0.04796
INFO | Test - Points (EXACT): total_masked=424439 correct=82010 right_rate=19.3220%
INFO | Test - WorstChannelByMAE: ch=11 mae=0.275304 (n=22)
INFO | - Epoch 001, ExpID 60048 best_epoch=1 improved=1
INFO | Train - Loss (last batch): 0.00485
INFO | Val - Loss, MSE, MAE: 0.00516, 0.00516, 0.04345
INFO | Test - Best epoch, Loss, MSE, MAE: 1, 0.00553, 0.00553, 0.04340
INFO | Test - Points (EXACT): total_masked=424439 correct=100838 right_rate=23.7579%
INFO | Test - WorstChannelByMAE: ch=11 mae=0.284736 (n=22)
INFO | - Epoch 002, ExpID 60048 best_epoch=2 improved=1
INFO | Train - Loss (last batch): 0.00551
INFO | Val - Loss, MSE, MAE: 0.00495, 0.00495, 0.04242
INFO | Test - Best epoch, Loss, MSE, MAE: 2, 0.00528, 0.00528, 0.04220
INFO | Test - Points (EXACT): total_masked=424439 correct=101377 right_rate=23.8849%
INFO | Test - WorstChannelByMAE: ch=11 mae=0.275154 (n=22)
INFO | - Epoch 003, ExpID 60048 best_epoch=3 improved=1
INFO | Train - Loss (last batch): 0.00356
INFO | Val - Loss, MSE, MAE: 0.00476, 0.00476, 0.04086
INFO | Test - Best epoch, Loss, MSE, MAE: 3, 0.00511, 0.00511, 0.04081
INFO | Test - Points (EXACT): total_masked=424439 correct=102324 right_rate=24.1081%
INFO | Test - WorstChannelByMAE: ch=11 mae=0.197294 (n=22)
INFO | - Epoch 004, ExpID 60048 best_epoch=4 improved=1
INFO | Train - Loss (last batch): 0.00513
INFO | Val - Loss, MSE, MAE: 0.00452, 0.00452, 0.03940
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.00491, 0.00491, 0.03942
INFO | Test - Points (EXACT): total_masked=424439 correct=108020 right_rate=25.4501%
INFO | Test - WorstChannelByMAE: ch=11 mae=0.164404 (n=22)
INFO | - Epoch 005, ExpID 60048 best_epoch=5 improved=1
INFO | Train - Loss (last batch): 0.00503
INFO | Val - Loss, MSE, MAE: 0.00441, 0.00441, 0.03891
INFO | Test - Best epoch, Loss, MSE, MAE: 5, 0.00478, 0.00478, 0.03888
INFO | Test - Points (EXACT): total_masked=424439 correct=116536 right_rate=27.4565%
INFO | Test - WorstChannelByMAE: ch=11 mae=0.147415 (n=22)
INFO | - Epoch 006, ExpID 60048 best_epoch=6 improved=1
