INFO | Test - WorstChannelByMAE: ch=3 mae=0.723928 (n=98294)
INFO | - Epoch 000, ExpID 31663 best_epoch=0 improved=1
INFO | Train - Loss (last batch): 0.97890
INFO | Val - Loss, MSE, MAE: 1.30279, 1.30279, 0.49405
INFO | Test - Best epoch, Loss, MSE, MAE: 0, 0.78415, 0.78415, 0.45946
INFO | Test - Points (EXACT): total_masked=493218 correct=13416 right_rate=2.7201%
INFO | Test - WorstChannelByMAE: ch=3 mae=0.688157 (n=98294)
INFO | - Epoch 001, ExpID 31663 best_epoch=1 improved=1
INFO | Train - Loss (last batch): 0.72195
INFO | Val - Loss, MSE, MAE: 1.26140, 1.26140, 0.48333
INFO | Test - Best epoch, Loss, MSE, MAE: 1, 0.75620, 0.75620, 0.44751
INFO | Test - Points (EXACT): total_masked=493218 correct=8109 right_rate=1.6441%
INFO | Test - WorstChannelByMAE: ch=3 mae=0.616764 (n=98294)
INFO | - Epoch 002, ExpID 31663 best_epoch=2 improved=1
INFO | Train - Loss (last batch): 0.73936
INFO | Val - Loss, MSE, MAE: 1.16535, 1.16535, 0.46675
INFO | Test - Best epoch, Loss, MSE, MAE: 2, 0.71053, 0.71053, 0.43208
INFO | Test - Points (EXACT): total_masked=493218 correct=12341 right_rate=2.5021%
INFO | Test - WorstChannelByMAE: ch=3 mae=0.560672 (n=98294)
INFO | - Epoch 003, ExpID 31663 best_epoch=3 improved=1
INFO | Train - Loss (last batch): 0.66520
INFO | Val - Loss, MSE, MAE: 1.12585, 1.12585, 0.45707
INFO | Test - Best epoch, Loss, MSE, MAE: 3, 0.67133, 0.67133, 0.42262
INFO | Test - Points (EXACT): total_masked=493218 correct=8932 right_rate=1.8110%
INFO | Test - WorstChannelByMAE: ch=3 mae=0.508706 (n=98294)
INFO | - Epoch 004, ExpID 31663 best_epoch=4 improved=1
INFO | Train - Loss (last batch): 0.60652
INFO | Val - Loss, MSE, MAE: 1.08920, 1.08920, 0.42517
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.63795, 0.63795, 0.39063
INFO | Test - Points (EXACT): total_masked=493218 correct=14757 right_rate=2.9920%
INFO | Test - WorstChannelByMAE: ch=3 mae=0.496916 (n=98294)
INFO | - Epoch 005, ExpID 31663 best_epoch=5 improved=1
INFO | Train - Loss (last batch): 0.61086
INFO | Val - Loss, MSE, MAE: 1.08849, 1.08849, 0.40760
INFO | Test - Best epoch, Loss, MSE, MAE: 5, 0.62039, 0.62039, 0.37293
INFO | Test - Points (EXACT): total_masked=493218 correct=23479 right_rate=4.7604%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.467101 (n=100619)
INFO | - Epoch 006, ExpID 31663 best_epoch=6 improved=1
INFO | Train - Loss (last batch): 0.57953
INFO | Val - Loss, MSE, MAE: 1.06884, 1.06884, 0.39005
INFO | Test - Best epoch, Loss, MSE, MAE: 6, 0.59519, 0.59519, 0.35549
INFO | Test - Points (EXACT): total_masked=493218 correct=22995 right_rate=4.6622%
INFO | - Epoch 007, ExpID 31663 best_epoch=6 improved=0
INFO | Train - Loss (last batch): 0.61455
INFO | Val - Loss, MSE, MAE: 1.08212, 1.08212, 0.36619
INFO | Test - Best epoch, Loss, MSE, MAE: 6, 0.59519, 0.59519, 0.35549
INFO | Test - Points (EXACT): total_masked=493218 correct=22995 right_rate=4.6622%
