INFO | - Epoch 000, ExpID 12 best_epoch=0 improved=1
INFO | Train - Loss (last batch): 0.78247
INFO | Val - Loss, MSE, MAE: 1.23795, 1.23795, 0.49706
INFO | Test - Best epoch, Loss, MSE, MAE: 0, 0.78904, 0.78904, 0.46204
INFO | Test - Points (EXACT): total_masked=493218 correct=2718 right_rate=0.5511%
INFO | - Epoch 001, ExpID 12 best_epoch=1 improved=1
INFO | Train - Loss (last batch): 0.73896
INFO | Val - Loss, MSE, MAE: 1.22036, 1.22036, 0.47379
INFO | Test - Best epoch, Loss, MSE, MAE: 1, 0.77845, 0.77845, 0.43937
INFO | Test - Points (EXACT): total_masked=493218 correct=45637 right_rate=9.2529%
INFO | - Epoch 002, ExpID 12 best_epoch=2 improved=1
INFO | Train - Loss (last batch): 0.75474
INFO | Val - Loss, MSE, MAE: 1.19282, 1.19282, 0.48184
INFO | Test - Best epoch, Loss, MSE, MAE: 2, 0.77006, 0.77006, 0.44636
INFO | Test - Points (EXACT): total_masked=493218 correct=22253 right_rate=4.5118%
INFO | - Epoch 003, ExpID 12 best_epoch=3 improved=1
INFO | Train - Loss (last batch): 0.90808
INFO | Val - Loss, MSE, MAE: 1.15841, 1.15841, 0.47088
INFO | Test - Best epoch, Loss, MSE, MAE: 3, 0.74549, 0.74549, 0.43731
INFO | Test - Points (EXACT): total_masked=493218 correct=7020 right_rate=1.4233%
INFO | - Epoch 004, ExpID 12 best_epoch=4 improved=1
INFO | Train - Loss (last batch): 0.64138
INFO | Val - Loss, MSE, MAE: 1.13757, 1.13757, 0.44272
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.69680, 0.69680, 0.40804
INFO | Test - Points (EXACT): total_masked=493218 correct=16969 right_rate=3.4405%
INFO | - Epoch 005, ExpID 12 best_epoch=5 improved=1
INFO | Train - Loss (last batch): 0.55901
INFO | Val - Loss, MSE, MAE: 1.08253, 1.08253, 0.40756
INFO | Test - Best epoch, Loss, MSE, MAE: 5, 0.65177, 0.65177, 0.37103
INFO | Test - Points (EXACT): total_masked=493218 correct=29361 right_rate=5.9529%
INFO | - Epoch 006, ExpID 12 best_epoch=6 improved=1
INFO | Train - Loss (last batch): 0.54432
INFO | Val - Loss, MSE, MAE: 1.05195, 1.05195, 0.38331
INFO | Test - Best epoch, Loss, MSE, MAE: 6, 0.61789, 0.61789, 0.34772
INFO | Test - Points (EXACT): total_masked=493218 correct=31362 right_rate=6.3586%
INFO | - Epoch 007, ExpID 12 best_epoch=7 improved=1
INFO | Train - Loss (last batch): 0.48856
INFO | Val - Loss, MSE, MAE: 1.04815, 1.04815, 0.37228
INFO | Test - Best epoch, Loss, MSE, MAE: 7, 0.60180, 0.60180, 0.33636
INFO | Test - Points (EXACT): total_masked=493218 correct=36065 right_rate=7.3122%
INFO | - Epoch 008, ExpID 12 best_epoch=8 improved=1
INFO | Train - Loss (last batch): 0.58944
INFO | Val - Loss, MSE, MAE: 1.02548, 1.02548, 0.36524
INFO | Test - Best epoch, Loss, MSE, MAE: 8, 0.59540, 0.59540, 0.33145
INFO | Test - Points (EXACT): total_masked=493218 correct=30410 right_rate=6.1656%
INFO | - Epoch 009, ExpID 12 best_epoch=8 improved=0
INFO | Train - Loss (last batch): 0.56821
INFO | Val - Loss, MSE, MAE: 1.03133, 1.03133, 0.35231
INFO | Test - Best epoch, Loss, MSE, MAE: 8, 0.59540, 0.59540, 0.33145
INFO | Test - Points (EXACT): total_masked=493218 correct=30410 right_rate=6.1656%
INFO | - Epoch 010, ExpID 12 best_epoch=10 improved=1
INFO | Train - Loss (last batch): 0.46214
INFO | Val - Loss, MSE, MAE: 1.02391, 1.02391, 0.36291
INFO | Test - Best epoch, Loss, MSE, MAE: 10, 0.58301, 0.58301, 0.32988
INFO | Test - Points (EXACT): total_masked=493218 correct=28177 right_rate=5.7129%
INFO | - Epoch 011, ExpID 12 best_epoch=10 improved=0
INFO | Train - Loss (last batch): 0.43147
INFO | Val - Loss, MSE, MAE: 1.04605, 1.04605, 0.38355
INFO | Test - Best epoch, Loss, MSE, MAE: 10, 0.58301, 0.58301, 0.32988
INFO | Test - Points (EXACT): total_masked=493218 correct=28177 right_rate=5.7129%
INFO | - Epoch 012, ExpID 12 best_epoch=12 improved=1
INFO | Train - Loss (last batch): 0.73858
INFO | Val - Loss, MSE, MAE: 1.01476, 1.01476, 0.37181
INFO | Test - Best epoch, Loss, MSE, MAE: 12, 0.58260, 0.58260, 0.33881
INFO | Test - Points (EXACT): total_masked=493218 correct=31649 right_rate=6.4168%
INFO | - Epoch 013, ExpID 12 best_epoch=13 improved=1
INFO | Train - Loss (last batch): 0.44190
INFO | Val - Loss, MSE, MAE: 1.00900, 1.00900, 0.36252
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.57628, 0.57628, 0.33042
INFO | Test - Points (EXACT): total_masked=493218 correct=32319 right_rate=6.5527%
INFO | - Epoch 014, ExpID 12 best_epoch=13 improved=0
INFO | Train - Loss (last batch): 0.55753
INFO | Val - Loss, MSE, MAE: 1.02441, 1.02441, 0.35218
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.57628, 0.57628, 0.33042
INFO | Test - Points (EXACT): total_masked=493218 correct=32319 right_rate=6.5527%
INFO | - Epoch 015, ExpID 12 best_epoch=15 improved=1
INFO | Train - Loss (last batch): 0.39456
INFO | Val - Loss, MSE, MAE: 1.00331, 1.00331, 0.35613
INFO | Test - Best epoch, Loss, MSE, MAE: 15, 0.57876, 0.57876, 0.32236
INFO | Test - Points (EXACT): total_masked=493218 correct=29598 right_rate=6.0010%
INFO | - Epoch 016, ExpID 12 best_epoch=15 improved=0
INFO | Train - Loss (last batch): 0.44770
INFO | Val - Loss, MSE, MAE: 1.01393, 1.01393, 0.34378
INFO | Test - Best epoch, Loss, MSE, MAE: 15, 0.57876, 0.57876, 0.32236
INFO | Test - Points (EXACT): total_masked=493218 correct=29598 right_rate=6.0010%
INFO | - Epoch 017, ExpID 12 best_epoch=15 improved=0
INFO | Train - Loss (last batch): 0.48149
INFO | Val - Loss, MSE, MAE: 1.01542, 1.01542, 0.36137
INFO | Test - Best epoch, Loss, MSE, MAE: 15, 0.57876, 0.57876, 0.32236
INFO | Test - Points (EXACT): total_masked=493218 correct=29598 right_rate=6.0010%
INFO | - Epoch 018, ExpID 12 best_epoch=15 improved=0
INFO | Train - Loss (last batch): 0.42080
INFO | Val - Loss, MSE, MAE: 1.01097, 1.01097, 0.35614
INFO | Test - Best epoch, Loss, MSE, MAE: 15, 0.57876, 0.57876, 0.32236
INFO | Test - Points (EXACT): total_masked=493218 correct=29598 right_rate=6.0010%
INFO | - Epoch 019, ExpID 12 best_epoch=15 improved=0
INFO | Train - Loss (last batch): 0.50402
INFO | Val - Loss, MSE, MAE: 1.03185, 1.03185, 0.36046
INFO | Test - Best epoch, Loss, MSE, MAE: 15, 0.57876, 0.57876, 0.32236
INFO | Test - Points (EXACT): total_masked=493218 correct=29598 right_rate=6.0010%
INFO | - Epoch 020, ExpID 12 best_epoch=15 improved=0
INFO | Train - Loss (last batch): 0.42557
INFO | Val - Loss, MSE, MAE: 1.01101, 1.01101, 0.35052
INFO | Test - Best epoch, Loss, MSE, MAE: 15, 0.57876, 0.57876, 0.32236
