INFO | Test - WorstChannelByMAE: ch=0 mae=0.453705 (n=8076)
INFO | - Epoch 000, ExpID 78936 best_epoch=0 improved=1
INFO | Train - Loss (last batch): 0.76818
INFO | Val - Loss, MSE, MAE: 0.83571, 0.83571, 0.36283
INFO | Test - Best epoch, Loss, MSE, MAE: 0, 0.53510, 0.53510, 0.33685
INFO | Test - Points (EXACT): total_masked=39143 correct=1450 right_rate=3.7044%
INFO | - Epoch 001, ExpID 78936 best_epoch=0 improved=0
INFO | Train - Loss (last batch): 0.37800
INFO | Val - Loss, MSE, MAE: 0.83803, 0.83803, 0.34249
INFO | Test - Best epoch, Loss, MSE, MAE: 0, 0.53510, 0.53510, 0.33685
INFO | Test - Points (EXACT): total_masked=39143 correct=1450 right_rate=3.7044%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.462858 (n=8076)
INFO | - Epoch 002, ExpID 78936 best_epoch=2 improved=1
INFO | Train - Loss (last batch): 0.55115
INFO | Val - Loss, MSE, MAE: 0.75867, 0.75867, 0.37151
INFO | Test - Best epoch, Loss, MSE, MAE: 2, 0.52894, 0.52894, 0.34785
INFO | Test - Points (EXACT): total_masked=39143 correct=1390 right_rate=3.5511%
INFO | - Epoch 003, ExpID 78936 best_epoch=2 improved=0
INFO | Train - Loss (last batch): 0.59845
INFO | Val - Loss, MSE, MAE: 0.76346, 0.76346, 0.33067
INFO | Test - Best epoch, Loss, MSE, MAE: 2, 0.52894, 0.52894, 0.34785
INFO | Test - Points (EXACT): total_masked=39143 correct=1390 right_rate=3.5511%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.423338 (n=8076)
INFO | - Epoch 004, ExpID 78936 best_epoch=4 improved=1
INFO | Train - Loss (last batch): 0.33590
INFO | Val - Loss, MSE, MAE: 0.74955, 0.74955, 0.33188
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.52568, 0.52568, 0.30809
INFO | Test - Points (EXACT): total_masked=39143 correct=3629 right_rate=9.2711%
INFO | - Epoch 005, ExpID 78936 best_epoch=4 improved=0
INFO | Train - Loss (last batch): 0.92096
INFO | Val - Loss, MSE, MAE: 0.77213, 0.77213, 0.36255
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.52568, 0.52568, 0.30809
INFO | Test - Points (EXACT): total_masked=39143 correct=3629 right_rate=9.2711%
INFO | - Epoch 006, ExpID 78936 best_epoch=4 improved=0
INFO | Train - Loss (last batch): 0.24912
INFO | Val - Loss, MSE, MAE: 0.77118, 0.77118, 0.37593
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.52568, 0.52568, 0.30809
INFO | Test - Points (EXACT): total_masked=39143 correct=3629 right_rate=9.2711%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.437031 (n=8076)
INFO | - Epoch 007, ExpID 78936 best_epoch=7 improved=1
INFO | Train - Loss (last batch): 0.46579
INFO | Val - Loss, MSE, MAE: 0.72716, 0.72716, 0.32800
INFO | Test - Best epoch, Loss, MSE, MAE: 7, 0.52852, 0.52852, 0.30724
INFO | Test - Points (EXACT): total_masked=39143 correct=3194 right_rate=8.1598%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.453220 (n=8076)
INFO | - Epoch 008, ExpID 78936 best_epoch=8 improved=1
INFO | Train - Loss (last batch): 0.36060
INFO | Val - Loss, MSE, MAE: 0.72596, 0.72596, 0.33464
INFO | Test - Best epoch, Loss, MSE, MAE: 8, 0.52012, 0.52012, 0.31211
INFO | Test - Points (EXACT): total_masked=39143 correct=3289 right_rate=8.4025%
INFO | - Epoch 009, ExpID 78936 best_epoch=8 improved=0
INFO | Train - Loss (last batch): 0.46650
INFO | Val - Loss, MSE, MAE: 0.79353, 0.79353, 0.33946
INFO | Test - Best epoch, Loss, MSE, MAE: 8, 0.52012, 0.52012, 0.31211
INFO | Test - Points (EXACT): total_masked=39143 correct=3289 right_rate=8.4025%
INFO | - Epoch 010, ExpID 78936 best_epoch=8 improved=0
INFO | Train - Loss (last batch): 0.47509
INFO | Val - Loss, MSE, MAE: 0.75514, 0.75514, 0.38142
INFO | Test - Best epoch, Loss, MSE, MAE: 8, 0.52012, 0.52012, 0.31211
INFO | Test - Points (EXACT): total_masked=39143 correct=3289 right_rate=8.4025%
INFO | - Epoch 011, ExpID 78936 best_epoch=8 improved=0
INFO | Train - Loss (last batch): 0.74400
INFO | Val - Loss, MSE, MAE: 0.73986, 0.73986, 0.35721
INFO | Test - Best epoch, Loss, MSE, MAE: 8, 0.52012, 0.52012, 0.31211
INFO | Test - Points (EXACT): total_masked=39143 correct=3289 right_rate=8.4025%
INFO | - Epoch 012, ExpID 78936 best_epoch=8 improved=0
INFO | Train - Loss (last batch): 0.92244
INFO | Val - Loss, MSE, MAE: 0.74075, 0.74075, 0.35186
INFO | Test - Best epoch, Loss, MSE, MAE: 8, 0.52012, 0.52012, 0.31211
INFO | Test - Points (EXACT): total_masked=39143 correct=3289 right_rate=8.4025%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.494632 (n=8076)
INFO | - Epoch 013, ExpID 78936 best_epoch=13 improved=1
INFO | Train - Loss (last batch): 0.34117
INFO | Val - Loss, MSE, MAE: 0.72050, 0.72050, 0.35231
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.51634, 0.51634, 0.33004
INFO | Test - Points (EXACT): total_masked=39143 correct=1277 right_rate=3.2624%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.425739 (n=8076)
INFO | - Epoch 014, ExpID 78936 best_epoch=14 improved=1
INFO | Train - Loss (last batch): 0.40920
INFO | Val - Loss, MSE, MAE: 0.70723, 0.70723, 0.33781
INFO | Test - Best epoch, Loss, MSE, MAE: 14, 0.52380, 0.52380, 0.31547
INFO | Test - Points (EXACT): total_masked=39143 correct=3171 right_rate=8.1011%
INFO | - Epoch 015, ExpID 78936 best_epoch=14 improved=0
INFO | Train - Loss (last batch): 0.37657
INFO | Val - Loss, MSE, MAE: 0.72091, 0.72091, 0.34492
INFO | Test - Best epoch, Loss, MSE, MAE: 14, 0.52380, 0.52380, 0.31547
INFO | Test - Points (EXACT): total_masked=39143 correct=3171 right_rate=8.1011%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.467966 (n=8076)
INFO | - Epoch 016, ExpID 78936 best_epoch=16 improved=1
INFO | Train - Loss (last batch): 0.44932
INFO | Val - Loss, MSE, MAE: 0.69744, 0.69744, 0.33791
INFO | Test - Best epoch, Loss, MSE, MAE: 16, 0.51950, 0.51950, 0.31568
INFO | Test - Points (EXACT): total_masked=39143 correct=2477 right_rate=6.3281%
INFO | - Epoch 017, ExpID 78936 best_epoch=16 improved=0
INFO | Train - Loss (last batch): 0.37812
INFO | Val - Loss, MSE, MAE: 0.70567, 0.70567, 0.33926
INFO | Test - Best epoch, Loss, MSE, MAE: 16, 0.51950, 0.51950, 0.31568
INFO | Test - Points (EXACT): total_masked=39143 correct=2477 right_rate=6.3281%
INFO | - Epoch 018, ExpID 78936 best_epoch=16 improved=0
INFO | Train - Loss (last batch): 0.60536
INFO | Val - Loss, MSE, MAE: 0.77327, 0.77327, 0.35517
INFO | Test - Best epoch, Loss, MSE, MAE: 16, 0.51950, 0.51950, 0.31568
INFO | Test - Points (EXACT): total_masked=39143 correct=2477 right_rate=6.3281%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.436495 (n=8076)
INFO | - Epoch 019, ExpID 78936 best_epoch=19 improved=1
INFO | Train - Loss (last batch): 0.43886
INFO | Val - Loss, MSE, MAE: 0.67952, 0.67952, 0.34313
INFO | Test - Best epoch, Loss, MSE, MAE: 19, 0.52302, 0.52302, 0.31971
INFO | Test - Points (EXACT): total_masked=39143 correct=2105 right_rate=5.3777%
INFO | - Epoch 020, ExpID 78936 best_epoch=19 improved=0
INFO | Train - Loss (last batch): 0.34115
INFO | Val - Loss, MSE, MAE: 0.73406, 0.73406, 0.33995
INFO | Test - Best epoch, Loss, MSE, MAE: 19, 0.52302, 0.52302, 0.31971
INFO | Test - Points (EXACT): total_masked=39143 correct=2105 right_rate=5.3777%
INFO | - Epoch 021, ExpID 78936 best_epoch=19 improved=0
INFO | Train - Loss (last batch): 0.81511
